Time,Density,Speeds,Stationary Time,Abnormal Behaviors
23/12/2023 18:10:59,nan,0.051008420551609944,33.0,1
23/12/2023 18:11:00,nan,0.023328893633142445,33.5,1
23/12/2023 18:11:01,nan,0.013546721697309198,34.0,1
23/12/2023 18:11:02,nan,0,34.0,1
23/12/2023 18:11:03,nan,0,34.5,1
23/12/2023 18:11:04,nan,0,34.5,1
23/12/2023 18:11:05,nan,0,34.5,1
23/12/2023 18:11:06,nan,0,34.5,1
23/12/2023 18:11:07,nan,0,34.5,1
23/12/2023 18:11:08,nan,0,34.5,1
23/12/2023 18:11:09,nan,0,34.5,1
23/12/2023 18:11:10,nan,0,34.5,1
23/12/2023 18:11:11,nan,0,34.5,1
23/12/2023 18:11:13,nan,0,34.5,1
23/12/2023 18:11:14,nan,0,34.5,1
23/12/2023 18:11:15,nan,0,34.5,1
23/12/2023 18:11:16,nan,0,35.0,1
23/12/2023 18:11:17,nan,0,35.0,1
23/12/2023 18:11:18,nan,0,35.0,1
23/12/2023 18:11:20,nan,0,35.0,1
23/12/2023 18:11:20,nan,0,35.0,1
23/12/2023 18:11:21,nan,0,35.0,1
23/12/2023 18:11:22,nan,0,35.5,1
23/12/2023 18:11:23,nan,0,35.5,1
23/12/2023 18:11:23,nan,0,36.0,1
23/12/2023 18:11:25,nan,0,36.0,1
23/12/2023 18:11:26,nan,0,24.666666666666668,1
23/12/2023 18:11:27,nan,0,24.666666666666668,1
23/12/2023 18:11:28,nan,0,25.333333333333332,1
23/12/2023 18:11:29,nan,0.16879190588991047,26.0,1
23/12/2023 18:11:31,nan,0,26.0,1
23/12/2023 18:11:32,nan,0,26.0,1
23/12/2023 18:11:33,nan,0,26.0,1
23/12/2023 18:11:34,nan,0,26.333333333333332,1
23/12/2023 18:11:35,nan,0.07581860819179817,26.666666666666668,1
23/12/2023 18:11:36,nan,0.21926378360871726,27.0,1
23/12/2023 18:11:38,nan,0.06402570960313467,27.333333333333332,1
23/12/2023 18:11:39,nan,0.047701060201945214,27.666666666666668,1
